"16 digits Partner ID.","16 位数字 Partner ID."
"Alipay Express Login Options","Alipay 快速登录选项"
"Enabled","启用"
"Important! Wechat User, Please <strong>change your email</strong> for first time login. After you can use Forgot Password function to get your password.","重要提示：微信用户建议先<strong>更改邮箱</strong>，再进行<strong>更改密码</strong>！"
"Partner ID","Partner ID"
"Please use wechat to scan the QR-Code.","请打开微信扫描二维码进行登录/注册。"
"Redirect to Wechat","重定向至微信"
"Security Key","Security Key"
"Should be 32 characters.","请填入32 位字母或数字"
"Sorry, Wechat login failed!","对不起，微信登录失败!"
"Wechat Login","微信登录"
"We suggest to use wechat to create an account.","建议使用微信登录进行注册。"
"You will be redirected to the Wechat website in a few seconds ...","你将会被重定向至微信网站，请等待 ..."
