"Weixin Mobile(JSAPI) Payment by Alipaymate.com","微信公众号支付(JSAPI) by sunpop.cn"
"Wexin Mobile Payment (JSAPI) - by Alipaymate.com","微信公众号支付 - by sunpop.cn"
"Weixin","微信"
"Weixin Payment","微信支付"
"Weixin Pay finish page","微信公众号支付后跳转"
"The URL in weixin browser, after pay finish(what ever success or fail)","微信公众号内，支付完成后（成功/失败）后跳转至页面"
"Prepared to pay ...","准备支付中..."
"Proccessing, Please wait a moment...","正在处理，请稍等..."
"Enabled","启用"
"Title","标题"
"Merchant ID","商户号"
"Key","Key"
"Should be 32 characters.","Should be 32 characters."
"App ID","App ID"
"App Secret","App Secret"
"Log","日志"
"Debug","调试"
"Payment to applicable countries","从可接受的国家支付"
"Payment to Specific countries","从指定的国家支付"
"Sort order","排序顺序"
"Order status: payment successful","订单状态：支付成功"
"Order status: finished","订单状态：订单完成"
"Order status: closed","订单状态：订单关闭"
"Redirect to Wechat","去微信支付"
"Please install CNY currency","请安装CNY货币"
"Show WeChat Logo","显示微信支付Logo"
"Show WeChat logo on payment methods section","选择支付方式时，显示微信支付Logo图片"
"Enable Repay","启用重新支付"
"Customers can re-pay unsuccessful orders","客户可以重新支付未成功的订单"
