"Country","Region/State","City","Zip/Postal Code","Zip to","Weight from","Weight to","Price From","Price To","Item From","Item To","Shipping Price","Algorithm","Delivery Type","Sort order"
"CAN","*","*","A0A","A8A",0,"*","*","*","*","*",92.16,"W=1@.60420","Freight Ground","*"
"CAN","*","*","B0C","B2N",0,"*","*","*","*","*",92.16,"W=1@.60420","Freight Ground","*"
"CAN","*","*","B2R","B2R",0,"*","*","*","*","*",91.44,"W=1@.57240","Freight Ground","*"
"CAN","*","*","B2S","B2S",0,"*","*","*","*","*",92.16,"W=1@.60420","Freight Ground","*"
"CAN","*","*","B2T","B3B",0,"*","*","*","*","*",91.44,"W=1@.57240","Freight Ground","*"
"CAN","*","*","B3E","B3E",0,"*","*","*","*","*",92.16,"W=1@.60420","Freight Ground","*"
"CAN","*","*","B3G","B3V",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","B3Z","B3Z",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","B4A","B4G",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","B4H","B9A",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","C0A","C1N",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","E1A","E1B",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","E1C","E1J",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","E1N","E2A",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","E2E","E2S",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","E2V","E2V",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","E3A","E3E",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","E3G","E9H",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","G0A","G0K",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","G0L","G0S",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","G0T","G0X",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","G0Y","G0Z",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","G1A","G3A",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","G3B","G3B",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","G3C","G3C",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","G3E","G3G",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","G3H","G3H",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","G3J","G3K",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","G3L","G3M",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","G3N","G5N",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","G5R","G5R",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","G5T","G5T",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","G5V","G6B",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","G6C","G6C",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","G6E","G6J",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","G6K","G6K",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","G6L","G6T",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","G6V","G7A",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","G7B","G8P",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","G8T","H0M",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","H1A","H5B",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","H7A","H7A",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","H7B","H7H",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","H7J","H7J",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","H7K","H8Z",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","H9A","H9E",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","H9G","H9J",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","H9K","H9K",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","H9P","H9X",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","J0A","J0L",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","J0M","J0M",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","J0N","J0V",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","J0W","J0W",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","J0X","J0X",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","J0Y","J0Z",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","J1A","J4B",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","J4G","J4S",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","J4T","J4T",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","J4V","J4Z",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","J5A","J5A",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","J5B","J5C",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","J5J","J8N",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","J8P","J8P",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","J8R","J8R",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","J8T","J9A",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","J9B","J9E",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","J9H","J9J",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","J9L","J9L",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","J9P","J9Z",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","K0A","K0J",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","K0K","K0M",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","K1A","K4A",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","K4B","L0B",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L0C","L0E",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","L0G","L0G",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L0H","L0H",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","L0J","L0J",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L0K","L0L",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","L0M","L1E",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L1G","L1G",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","L1H","L1H",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L1J","L1J",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","L1K","L1K",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L1L","L1L",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
"CAN","*","*","L1M","L1M",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L1N","L1N",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","L1P","L1R",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L1S","L1S",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","L1T","L1T",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L1V","L1W",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","L1X","L2A",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L2E","L3C",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","L3K","L3K",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L3M*","L3T*",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","L3V","L4A",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L4B","L4C",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","L4E","L4G",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L4H","L4L",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","L4M","L4S",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L4T","L7A",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","L7B","L7K",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L7L","L9K",0,"*","*","*","*","*",90.75,"W=1@.5353","Freight Ground","*"
"CAN","*","*","L9L","L9R",0,"*","*","*","*","*",91.44,"W=1@.5724","Freight Ground","*"
"CAN","*","*","L9S","L9S",0,"*","*","*","*","*",92.16,"W=1@.6042","Freight Ground","*"
