"Country","Region/State","City","Zip From","Zip To","Weight >=","Weight <=","Price From","Price To","Item From","Item To","Shipping Price","Algorithm","Delivery Type","Sort Order"
"GBR","*","*","*","*",0,100,"*","*","*","*",1.39,,"First Class",
"GBR","*","*","*","*",101,250,"*","*","*","*",1.72,,"First Class",
"GBR","*","*","*","*",251,500,"*","*","*","*",2.24,,"First Class",
"GBR","*","*","*","*",501,750,"*","*","*","*",2.75,,"First Class",
"GBR","*","*","*","*",751,1000,"*","*","*","*",3.35,,"First Class",
"GBR","*","*","*","*",1001,1250,"*","*","*","*",4.5,,"First Class",
"GBR","*","*","*","*",1251,1500,"*","*","*","*",5.2,,"First Class",
"GBR","*","*","*","*",1501,1750,"*","*","*","*",5.9,,"First Class",
"GBR","*","*","*","*",1751,2000,"*","*","*","*",6.6,,"First Class",
"GBR","*","*","*","*",2001,4000,"*","*","*","*",8.22,,"First Class",
"GBR","*","*","*","*",4001,20000,"*","*","*","*",11.02,"w=2000@2.80","First Class",
"GBR","*","*","*","*",0,100,"*","*","*","*",2.13,,"First Class Recorded",
"GBR","*","*","*","*",101,250,"*","*","*","*",2.46,,"First Class Recorded",
"GBR","*","*","*","*",251,500,"*","*","*","*",2.98,,"First Class Recorded",
"GBR","*","*","*","*",501,750,"*","*","*","*",3.49,,"First Class Recorded",
"GBR","*","*","*","*",751,1000,"*","*","*","*",4.09,,"First Class Recorded",
"GBR","*","*","*","*",1001,1250,"*","*","*","*",5.24,,"First Class Recorded",
"GBR","*","*","*","*",1251,1500,"*","*","*","*",5.94,,"First Class Recorded",
"GBR","*","*","*","*",1501,1750,"*","*","*","*",6.64,,"First Class Recorded",
"GBR","*","*","*","*",1751,2000,"*","*","*","*",7.34,,"First Class Recorded",
"GBR","*","*","*","*",2001,4000,"*","*","*","*",8.96,,"First Class Recorded",
"GBR","*","*","*","*",4001,20000,"*","*","*","*",11.76,"w=2000@2.80","First Class Recorded",
"GBR","*","*","*","*",0,100,"*","*","*","*",1.17,,"Second Class",
"GBR","*","*","*","*",101,250,"*","*","*","*",1.51,,"Second Class",
"GBR","*","*","*","*",251,500,"*","*","*","*",1.95,,"Second Class",
"GBR","*","*","*","*",501,750,"*","*","*","*",2.36,,"Second Class",
"GBR","*","*","*","*",751,1000,"*","*","*","*",2.84,,"Second Class",
"GBR","*","*","*","*",0,100,"*","*","*","*",1.91,,"Second Class Recorded",
"GBR","*","*","*","*",101,250,"*","*","*","*",2.25,,"Second Class Recorded",
"GBR","*","*","*","*",251,500,"*","*","*","*",2.69,,"Second Class Recorded",
"GBR","*","*","*","*",501,750,"*","*","*","*",3.1,,"Second Class Recorded",
"GBR","*","*","*","*",751,1000,"*","*","*","*",3.58,,"Second Class Recorded",
"GBR","*","*","*","*",0,2000,"*","*","*","*",4.41,,"Standard Parcels",
"GBR","*","*","*","*",2001,4000,"*","*","*","*",7.06,,"Standard Parcels",
"GBR","*","*","*","*",4001,6000,"*","*","*","*",9.58,,"Standard Parcels",
"GBR","*","*","*","*",6001,8000,"*","*","*","*",11.74,,"Standard Parcels",
"GBR","*","*","*","*",8001,10000,"*","*","*","*",12.61,,"Standard Parcels",
"GBR","*","*","*","*",10001,20000,"*","*","*","*",14.69,,"Standard Parcels",
"GBR","*","*","*","*",0,2000,0,100,"*","*",5.41,,"Standard Parcels",
"GBR","*","*","*","*",2001,4000,0,100,"*","*",8.06,,"Standard Parcels",
"GBR","*","*","*","*",4001,6000,0,100,"*","*",10.58,,"Standard Parcels",
