"Country","Region/State","City","Zip/Postal Code","Zip to","Weight from","Weight to","Price From","Price To","Item From","Item To","Shipping Price","Algorithm","Delivery Type","Sort Order"
"GBR","*","*","*","*",0,"*",0,"*","*","*",15.99,,"DHL Express Next Day Before 12 Noon","*"
"GBR","*","*","*","*",0,"*",0,149.99,"*","*",8.99,,"DHL Mainland UK 1-2 Working Days","*"
"GBR","*","*","*","*",0,"*",150,"*","*","*",0,,"Delivered Free","*"
"GBR","*","*","BT","*",0,"*",0,199.99,"*","*",19.99,,"DHL Northern Ireland 3 - 5 Working Days","*"
"GBR","*","*","BT","*",0,"*",200,"*","*","*",0,,"Delivered Free","*"
"GBR","*","*","FK18,FK19,HS1,HS2,HS3,HS4,HS5,HS6,HS7,HS8,HS9","*",0,"*",0,199.99,"*","*",14.99,,"DHL Islands & Highlands 2-3 Working Days","*"
"GBR","*","*","FK18,FK19,HS1,HS2,HS3,HS4,HS5,HS6,HS7,HS8,HS9","*",0,"*",200,"*","*","*",0,,"Delivered Free","*"
"GBR","*","*","IM,IOM","*",0,"*",0,199.99,"*","*",14.99,,"DHL Isle of Man 2-3 Working Days","*"
"GBR","*","*","IM,IOM","*",0,"*",200,"*","*","*",0,,"Delivered Free","*"
"GBR","*","*","IV1,IV2,IV3,IV4,IV5,IV6,IV7,IV8,IV9,IV10,IV11,IV12,IV13,IV14,IV15,IV16,IV17,IV18,IV19,IV20,IV21,IV22,IV23,IV24,IV25,IV26,IV27,IV28,IV30,IV31,IV32,IV36,IV40,IV41,IV42,IV43,IV44,IV45,IV46,IV47,IV48,IV49,IV51,IV52,IV53,IV54,IV55,IV56,IV63","*",0,"*",0,199.99,"*","*",14.99,,"DHL Islands & Highlands 2-3 Working Days","*"
