"e.g. domain.com/blog/identifier","例如：sunpop.cn/blog/identifier"
"Hidden pages won't be shown in blog but still can be accessed directly","Hidden pages won't be shown in blog but still can be accessed directly"
"* Required Fields","* 必要字段"
"Action","Action"
"Add Category","增加分类"
"Add Comment","增加说明"
"Add Post","添加文章"
"Added By","作者"
"Advanced Options","高级选项"
"Advanced Post Options","高级文章选项"
"If enabled, all comments appear immediately without admin approval.","If enabled, all comments appear immediately without admin approval."
"An error occured. Please try again","An error occured. Please try again"
"Approve","审核"
"Approved","已通过"
"Are you sure?","Are you sure?"
"Auto Approve Comments","评论自动通过审核"
"Blog Categories","目录"
"Banner Content","文章顶部广告橱窗"
"Blog Comment Manager","文章评论管理"
"Blog Manager","资讯管理"
"Blog Post Manager","文章管理"
"Blog Post Options","文章选项"
"Blog Settings","资讯设置"
"Blog Title","资讯显示标题"
"Blog","资讯"
"blog","blog"
"Bookmark with","Bookmark with"
"By","By"
"Categories","目录"
"Category Comment Manager","Category Comment Manager"
"Category does not exist","Category does not exist"
"Category Information","目录信息"
"Category Manager","目录管理"
"Category","Category"
"Change status","Change status"
"click here","点击这里"
"Comma-separated","Comma-separated"
"Comment Information","评论信息"
"Comment Manager","评论管理"
"Comment Submitted","Comment Submitted"
"Comment was approved","Comment was approved"
"Comment was successfully deleted","Comment was successfully deleted"
"Comment was successfully saved","Comment was successfully saved"
"Comment was unapproved","Comment was unapproved"
"Comment","评论"
"Comments are Closed for this post","Comments are Closed for this post"
"Comments are not enabled.","Comments are not enabled."
"Comments per Page","每页评论数"
"Comments","评论列表"
"comments","评论列表"
"Content","内容（必填）"
"Created At","创建于"
"Created on","创建日期"
"Created","创建"
"CSV","CSV"
"Date Format","日期格式"
"Default Posts Sorting","默认文章排序规则"
"Delete Category","Delete Category"
"Delete Comment","删除评论"
"Delete Post","Delete Post"
"Delete","Delete"
"Description","Description"
"Disabled","Disabled"
"Disabling will close the post to new comments","Disabling will close the post to new comments"
"Duplicate Post","Duplicate Post"
"Edit Category  '%s'","编辑目录  '%s'"
"Edit Comment By '%s'","Edit Comment By '%s'"
"Edit Post '%s'","Edit Post '%s'"
"Edit","Edit"
"Must NOT contain any slashes. ""news"" makes the blog accessible from domain.com/news. Leave blank for default value.","Must NOT contain any slashes. ""news"" makes the blog accessible from domain.com/news. Leave blank for default value."
"Email Address","Email Address"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email","Email"
"Enable Blog RSS Feed","允许RSS"
"Enable Categories Menu","显示目录菜单"
"Enable Comments","允许评论"
"Enable Footer Link","显示底部链接"
"Enable Left Menu","显示左列菜单"
"Enable ReCAPTCHA","要求验证码"
"Enable Right Menu","显示右列菜单"
"Enable Top Link","显示顶部链接"
"Enable","Enable"
"Enabled","Enabled"
"Error during generation sitemap","Error during generation sitemap"
"Frequency","Frequency"
"Full","完整日期时间"
"Go to <a href=""http://www.google.com/recaptcha/intro/index.html"">http://www.google.com/recaptcha/intro/index.html</a> to get keys","Go to <a href=""http://www.google.com/recaptcha/intro/index.html"">http://www.google.com/recaptcha/intro/index.html</a> to get keys"
"Google Sitemap","Google Sitemap"
"Hidden","隐藏"
"Home","Home"
"ID","ID"
"Identifier","Identifier"
"If enabled, additional ""Short Content Field"" is taken instead of truncated main post.","If enabled, additional ""Short Content Field"" is taken instead of truncated main post."
"Keywords","Keywords"
"Latest Posts","Latest Posts"
"Leave blank to use current user name","不填则默认为当前登录用户"
"Link to Post","相关文章"
